model,pass,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,probability_min,probability_max,pass_training_seconds,cumulative_training_seconds,pass_evaluation_seconds,cumulative_evaluation_seconds,tree_height,n_nodes,n_leaves,native_unit,n_trees,boosting_rounds
Hoeffding Tree,1,78038,0.6870257289453015,0.15403515368880966,0.39247312479813146,2,0.19304672905357262,0.8297414753080579,1.6967638998758048,1.6967638998758048,0.733906599925831,0.733906599925831,2.0,3.0,2.0,,,
Hoeffding Tree,2,156076,0.6870257289453015,0.15403479713291965,0.3924726705554409,2,0.19316146552811966,0.8292765182250611,1.4079121998511255,3.1046760997269303,0.7718227000441402,1.5057292999699712,2.0,3.0,2.0,,,
Hoeffding Tree,3,234114,0.6870257289453015,0.15403469655270258,0.3924725424188329,2,0.19319970776635126,0.8291214498126143,1.3681801001075655,4.472856199834496,0.7183960000984371,2.2241253000684083,2.0,3.0,2.0,,,
Hoeffding Tree,4,312152,0.6870257289453015,0.15403464969135258,0.39247248271866475,2,0.19321882827553463,0.829043900087431,1.6772873001173139,6.15014349995181,0.878147599985823,3.1022729000542313,2.0,3.0,2.0,,,
Hoeffding Tree,5,390190,0.6870257289453015,0.1540346226721049,0.3924724482968262,2,0.19323030038587374,0.8289973652850613,1.4817256999667734,7.631869199918583,0.7292467998340726,3.831519699888304,2.0,3.0,2.0,,,
Hoeffding Tree,6,468228,0.6870257289453015,0.15403460511667402,0.3924724259316494,2,0.19323794837811367,0.8289663400135137,1.3434023999143392,8.975271599832922,0.7133555000182241,4.544875199906528,2.0,3.0,2.0,,,
Hoeffding Tree,7,546266,0.6870257289453015,0.15403459280113982,0.3924724102419682,2,0.19324341118988425,0.8289441780913167,1.5202967999503016,10.495568399783224,0.744529000017792,5.28940419992432,2.0,3.0,2.0,,,
Hoeffding Tree,8,624304,0.6870257289453015,0.15403458368703163,0.392472398630823,2,0.19324750827693066,0.8289275560951322,1.5218858998268843,12.017454299610108,0.7069874999579042,5.996391699882224,2.0,3.0,2.0,,,
Hoeffding Tree,9,702342,0.6870257289453015,0.15403457667090303,0.3924723896924509,2,0.19325069488728153,0.8289146275472489,1.390833399957046,13.408287699567154,0.7163726000580937,6.712764299940318,2.0,3.0,2.0,,,
Hoeffding Tree,10,780380,0.6870257289453015,0.15403457110375426,0.39247238260004264,2,0.19325324416743056,0.828904284501899,1.4667628000024706,14.875050499569625,0.7290596000384539,7.441823899978772,2.0,3.0,2.0,,,
Random Forest,1,78038,0.9036228312454385,0.10006046496086461,0.3163233550670336,89,,,0.9648319999687374,0.9648319999687374,,,,,,trees,1.0,
Random Forest,2,156076,0.9458192312281622,0.0742404407185442,0.272470990599998,669,,,0.8392840998712927,1.80411609984003,,,,,,trees,2.0,
Random Forest,3,234114,0.9590203938511722,0.06664646883880593,0.25815977385875966,1412,,,0.7326758000999689,2.536791899939999,,,,,,trees,3.0,
Random Forest,4,312152,0.9653249773617197,0.06257890679241288,0.2501577638059888,2333,,,0.7898341999389231,3.326626099878922,,,,,,trees,4.0,
Random Forest,5,390190,0.968633767895588,0.0600802919996018,0.24511281484165978,3272,,,0.8691026999149472,4.195728799793869,,,,,,trees,5.0,
Random Forest,6,468228,0.9710311818975745,0.05846646052927524,0.24179838818585048,4133,,,0.7555344998836517,4.951263299677521,,,,,,trees,6.0,
Random Forest,7,546266,0.9727297263860959,0.05704338560505414,0.23883757159428276,4961,,,0.7517768999096006,5.703040199587122,,,,,,trees,7.0,
Random Forest,8,624304,0.9738142189628628,0.05626055932127344,0.23719308447185689,5751,,,0.7929614000022411,6.496001599589363,,,,,,trees,8.0,
Random Forest,9,702342,0.9748041944322641,0.05550752209334922,0.23560034400091445,6450,,,0.8212301000021398,7.3172316995915025,,,,,,trees,9.0,
Random Forest,10,780380,0.9759046600817395,0.05455495803574253,0.23357002811949681,7048,,,0.8226650999858975,8.1398967995774,,,,,,trees,10.0,
XGBoost,1,78038,0.9411583881690919,0.13560475091383484,0.36824550358943264,61,,,0.14670529984869063,0.14670529984869063,,,,,,boosting rounds,,1.0
XGBoost,2,156076,0.9557723881061366,0.10355832931981208,0.3218048000260594,764,,,0.025867999996989965,0.1725732998456806,,,,,,boosting rounds,,2.0
XGBoost,3,234114,0.9618631176480492,0.08605780806226292,0.29335611134295964,2734,,,0.025719900149852037,0.19829319999553263,,,,,,boosting rounds,,3.0
XGBoost,4,312152,0.9653466273903791,0.07576030577433783,0.27524590055864195,4907,,,0.027178499847650528,0.22547169984318316,,,,,,boosting rounds,,4.0
XGBoost,5,390190,0.9679821514455191,0.06915318334798196,0.26296992860017654,7210,,,0.028414899948984385,0.25388659979216754,,,,,,boosting rounds,,5.0
XGBoost,6,468228,0.9694712049128545,0.06498519490437259,0.254921938844762,9772,,,0.041155500104650855,0.2950420998968184,,,,,,boosting rounds,,6.0
XGBoost,7,546266,0.9706351565719824,0.06234828677870584,0.24969638919837395,11514,,,0.02725089993327856,0.32229299983009696,,,,,,boosting rounds,,7.0
XGBoost,8,624304,0.9723686009799064,0.059651796386852335,0.2442371724100415,13493,,,0.028088200138881803,0.35038119996897876,,,,,,boosting rounds,,8.0
XGBoost,9,702342,0.9735341375016562,0.0577240439310162,0.24025828587379916,14695,,,0.02875950001180172,0.3791406999807805,,,,,,boosting rounds,,9.0
XGBoost,10,780380,0.9747224001481646,0.05597496587118644,0.2365902911600272,16066,,,0.030262300046160817,0.4094030000269413,,,,,,boosting rounds,,10.0
