model,pass,native_unit,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,pass_training_seconds,cumulative_training_seconds,n_trees
Random Forest,1,trees,78038,0.9036228312454385,0.10006046496086461,0.3163233550670336,89,0.9648319999687374,0.9648319999687374,1
Random Forest,2,trees,156076,0.9458192312281622,0.0742404407185442,0.272470990599998,669,0.8392840998712927,1.80411609984003,2
Random Forest,3,trees,234114,0.9590203938511722,0.06664646883880593,0.25815977385875966,1412,0.7326758000999689,2.536791899939999,3
Random Forest,4,trees,312152,0.9653249773617197,0.06257890679241288,0.2501577638059888,2333,0.7898341999389231,3.326626099878922,4
Random Forest,5,trees,390190,0.968633767895588,0.0600802919996018,0.24511281484165978,3272,0.8691026999149472,4.195728799793869,5
Random Forest,6,trees,468228,0.9710311818975745,0.05846646052927524,0.24179838818585048,4133,0.7555344998836517,4.951263299677521,6
Random Forest,7,trees,546266,0.9727297263860959,0.05704338560505414,0.23883757159428276,4961,0.7517768999096006,5.703040199587122,7
Random Forest,8,trees,624304,0.9738142189628628,0.05626055932127344,0.23719308447185689,5751,0.7929614000022411,6.496001599589363,8
Random Forest,9,trees,702342,0.9748041944322641,0.05550752209334922,0.23560034400091445,6450,0.8212301000021398,7.3172316995915025,9
Random Forest,10,trees,780380,0.9759046600817395,0.05455495803574253,0.23357002811949681,7048,0.8226650999858975,8.1398967995774,10
