model,pass,native_unit,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,pass_training_seconds,cumulative_training_seconds,boosting_rounds
XGBoost,1,boosting rounds,78038,0.9411583881690919,0.13560475091383484,0.36824550358943264,61,0.14670529984869063,0.14670529984869063,1
XGBoost,2,boosting rounds,156076,0.9557723881061366,0.10355832931981208,0.3218048000260594,764,0.025867999996989965,0.1725732998456806,2
XGBoost,3,boosting rounds,234114,0.9618631176480492,0.08605780806226292,0.29335611134295964,2734,0.025719900149852037,0.19829319999553263,3
XGBoost,4,boosting rounds,312152,0.9653466273903791,0.07576030577433783,0.27524590055864195,4907,0.027178499847650528,0.22547169984318316,4
XGBoost,5,boosting rounds,390190,0.9679821514455191,0.06915318334798196,0.26296992860017654,7210,0.028414899948984385,0.25388659979216754,5
XGBoost,6,boosting rounds,468228,0.9694712049128545,0.06498519490437259,0.254921938844762,9772,0.041155500104650855,0.2950420998968184,6
XGBoost,7,boosting rounds,546266,0.9706351565719824,0.06234828677870584,0.24969638919837395,11514,0.02725089993327856,0.32229299983009696,7
XGBoost,8,boosting rounds,624304,0.9723686009799064,0.059651796386852335,0.2442371724100415,13493,0.028088200138881803,0.35038119996897876,8
XGBoost,9,boosting rounds,702342,0.9735341375016562,0.0577240439310162,0.24025828587379916,14695,0.02875950001180172,0.3791406999807805,9
XGBoost,10,boosting rounds,780380,0.9747224001481646,0.05597496587118644,0.2365902911600272,16066,0.030262300046160817,0.4094030000269413,10
