model,pass,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,probability_min,probability_max,pass_training_seconds,cumulative_training_seconds,pass_evaluation_seconds,cumulative_evaluation_seconds,tree_height,n_nodes,n_leaves,native_unit,n_trees,boosting_rounds
Hoeffding Tree,1,147034,0.8380662795590408,0.1015671616818469,0.3186960333638417,2,0.37358317656380974,0.9444292751918533,1.8626719999592751,1.8626719999592751,1.2593749000225216,1.2593749000225216,2.0,3.0,2.0,,,
Hoeffding Tree,2,294068,0.8380662795590408,0.1015675940973902,0.31869671177687137,2,0.3734335936459759,0.9444113754818155,1.8866455000825226,3.7493175000417978,1.3519952001515776,2.611370100174099,2.0,3.0,2.0,,,
Hoeffding Tree,3,441102,0.8380662795590408,0.10156774108140781,0.3186969423785045,2,0.37338370950133165,0.9444054099171385,2.725230999989435,6.474548500031233,1.327812199946493,3.939182300120592,2.0,3.0,2.0,,,
Hoeffding Tree,4,588136,0.8380662795590408,0.10156781510747213,0.3186970585171318,2,0.37335876308198174,0.9444024273232647,2.7278004998806864,9.20234899991192,1.2107905000448227,5.149972800165415,2.0,3.0,2.0,,,
Hoeffding Tree,5,735170,0.8380662795590408,0.10156785969407556,0.3186971284685125,2,0.3733437938390319,0.9444006378272445,2.8989802000578493,12.101329199969769,2.127197800204158,7.277170600369573,2.0,3.0,2.0,,,
Hoeffding Tree,6,882204,0.8380662795590408,0.10156788948972871,0.3186971752145424,2,0.3733338137639397,0.9443994448550234,3.0601163001265377,15.161445500096306,2.2284935999196023,9.505664200289175,2.0,3.0,2.0,,,
Hoeffding Tree,7,1029238,0.8380662795590408,0.1015679108072414,0.31869720865931883,2,0.37332668485487275,0.9443985927443143,13.345609599957243,28.50705510005355,4.046545399818569,13.552209600107744,2.0,3.0,2.0,,,
Hoeffding Tree,8,1176272,0.8380662795590408,0.10156792681446553,0.3186972337728483,2,0.3733213380177513,0.9443979536680124,6.507486300077289,35.01454140013084,2.938300099922344,16.49050970003009,2.0,3.0,2.0,,,
Hoeffding Tree,9,1323306,0.8380662795590408,0.10156793927584191,0.3186972533233412,2,0.37331717927461106,0.9443974566126544,4.153421600116417,39.167963000247255,2.7760550999082625,19.26656479993835,2.0,3.0,2.0,,,
Hoeffding Tree,10,1470340,0.8380662795590408,0.10156794925207074,0.31869726897491724,2,0.3733138522221083,0.9443970589708804,3.403237600112334,42.57120060035959,1.690348699921742,20.956913499860093,2.0,3.0,2.0,,,
Random Forest,1,147034,0.9986808067561322,0.002374649864450956,0.04873037927669921,48,,,0.17574520013295114,0.17574520013295114,,,,,,trees,1.0,
Random Forest,2,294068,0.9997674752242885,0.0014325254253777407,0.03784871761866894,138,,,0.173812200082466,0.34955740021541715,,,,,,trees,2.0,
Random Forest,3,441102,0.9998080922651507,0.0012675502876488094,0.035602672479026196,244,,,0.21550289983861148,0.5650603000540286,,,,,,trees,3.0,
Random Forest,4,588136,0.9998843109130575,0.0010483108809740055,0.03237762932912176,326,,,0.2025261998642236,0.7675864999182522,,,,,,trees,4.0,
Random Forest,5,735170,0.9999244596948957,0.0009599147238255809,0.030982490600750305,390,,,0.17167569999583066,0.9392621999140829,,,,,,trees,5.0,
Random Forest,6,882204,0.9999368938703325,0.00096495987662889,0.03106380331879678,495,,,0.18970569991506636,1.1289678998291492,,,,,,trees,6.0,
Random Forest,7,1029238,0.9999660195816306,0.0008885108552849203,0.02980789920952029,553,,,0.20715239993296564,1.3361202997621149,,,,,,trees,7.0,
Random Forest,8,1176272,0.9999660828598771,0.000863400082896693,0.02938367034420127,614,,,0.1967154999729246,1.5328357997350395,,,,,,trees,8.0,
Random Forest,9,1323306,0.9999653463010877,0.0008513385063003496,0.029177705638044085,653,,,0.16109699988737702,1.6939327996224165,,,,,,trees,9.0,
Random Forest,10,1470340,0.9999663435662526,0.0007999789249688219,0.02828389868757173,691,,,0.19369230000302196,1.8876250996254385,,,,,,trees,10.0,
XGBoost,1,147034,0.994695442812057,0.07222297598709596,0.2687433273350167,30,,,0.1895045000128448,0.1895045000128448,,,,,,boosting rounds,,1.0
XGBoost,2,294068,0.9946921245008106,0.042829905606383174,0.20695387313694608,87,,,0.09260459989309311,0.2821090999059379,,,,,,boosting rounds,,2.0
XGBoost,3,441102,0.9962171530215816,0.027030920745221666,0.16441082916043476,156,,,0.08946830010972917,0.3715774000156671,,,,,,boosting rounds,,3.0
XGBoost,4,588136,0.9963958431963027,0.018730976152496935,0.13686115647800487,190,,,0.08929889998398721,0.4608762999996543,,,,,,boosting rounds,,4.0
XGBoost,5,735170,0.9968072682305134,0.013959702433824824,0.1181511846484191,246,,,0.08895389991812408,0.5498301999177784,,,,,,boosting rounds,,5.0
XGBoost,6,882204,0.9977614371127624,0.010251393130444606,0.10124916360367925,286,,,0.10127320000901818,0.6511033999267966,,,,,,boosting rounds,,6.0
XGBoost,7,1029238,0.9980798317345367,0.008168559985778739,0.0903800862235633,359,,,0.10261749988421798,0.7537208998110145,,,,,,boosting rounds,,7.0
XGBoost,8,1176272,0.9984694574128289,0.007012704806660222,0.08374189397583638,419,,,0.09312740014865994,0.8468482999596745,,,,,,boosting rounds,,8.0
XGBoost,9,1323306,0.9991517386533499,0.006145355748246004,0.07839231944678002,463,,,0.11045940010808408,0.9573077000677586,,,,,,boosting rounds,,9.0
XGBoost,10,1470340,0.9992292633642644,0.005369812382540365,0.07327900369505828,534,,,0.030268099857494235,0.9875757999252528,,,,,,boosting rounds,,10.0
