model,total_data_passes,roc_auc,probability_rmse,total_pipeline_training_seconds,evaluation_split,result_kind
Hoeffding Tree,1,0.6870257289453015,0.39247312479813146,1.669559400063008,validation,pass checkpoint
Hoeffding Tree,2,0.6870257289453015,0.3924726705554409,3.223447300028056,validation,pass checkpoint
Hoeffding Tree,3,0.6870257289453015,0.3924725424188329,4.685682600364089,validation,pass checkpoint
Hoeffding Tree,4,0.6870257289453015,0.39247248271866475,6.048857700545341,validation,pass checkpoint
Hoeffding Tree,5,0.6870257289453015,0.3924724482968262,7.410956300329417,validation,pass checkpoint
Hoeffding Tree,6,0.6870257289453015,0.3924724259316494,8.796254300512373,validation,pass checkpoint
Hoeffding Tree,7,0.6870257289453015,0.3924724102419682,10.171739200130105,validation,pass checkpoint
Hoeffding Tree,8,0.6870257289453015,0.392472398630823,11.436576900538057,validation,pass checkpoint
Hoeffding Tree,9,0.6870257289453015,0.3924723896924509,12.903783900663257,validation,pass checkpoint
Hoeffding Tree,10,0.6870257289453015,0.39247238260004264,14.537683500442654,validation,pass checkpoint
Naive Bayes,2,0.9331641910356072,0.3602948326622268,984.8665746995248,validation,completed model
KDB,3,0.950599707623958,0.3091545128166778,1168.4957147999667,validation,completed model
Selective KDB,4,0.963030440342916,0.28069728919118025,2041.679622499738,validation,completed model
