model,pass,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,probability_min,probability_max,pass_training_seconds,cumulative_training_seconds,pass_evaluation_seconds,cumulative_evaluation_seconds,tree_height,n_nodes,n_leaves
Hoeffding Tree,1,147034,0.8380662795590408,0.1015671616818469,0.3186960333638417,2,0.37358317656380974,0.9444292751918533,1.8626719999592751,1.8626719999592751,1.2593749000225216,1.2593749000225216,2,3,2
Hoeffding Tree,2,294068,0.8380662795590408,0.1015675940973902,0.31869671177687137,2,0.3734335936459759,0.9444113754818155,1.8866455000825226,3.7493175000417978,1.3519952001515776,2.611370100174099,2,3,2
Hoeffding Tree,3,441102,0.8380662795590408,0.10156774108140781,0.3186969423785045,2,0.37338370950133165,0.9444054099171385,2.725230999989435,6.474548500031233,1.327812199946493,3.939182300120592,2,3,2
Hoeffding Tree,4,588136,0.8380662795590408,0.10156781510747213,0.3186970585171318,2,0.37335876308198174,0.9444024273232647,2.7278004998806864,9.20234899991192,1.2107905000448227,5.149972800165415,2,3,2
Hoeffding Tree,5,735170,0.8380662795590408,0.10156785969407556,0.3186971284685125,2,0.3733437938390319,0.9444006378272445,2.8989802000578493,12.101329199969769,2.127197800204158,7.277170600369573,2,3,2
Hoeffding Tree,6,882204,0.8380662795590408,0.10156788948972871,0.3186971752145424,2,0.3733338137639397,0.9443994448550234,3.0601163001265377,15.161445500096306,2.2284935999196023,9.505664200289175,2,3,2
Hoeffding Tree,7,1029238,0.8380662795590408,0.1015679108072414,0.31869720865931883,2,0.37332668485487275,0.9443985927443143,13.345609599957243,28.50705510005355,4.046545399818569,13.552209600107744,2,3,2
Hoeffding Tree,8,1176272,0.8380662795590408,0.10156792681446553,0.3186972337728483,2,0.3733213380177513,0.9443979536680124,6.507486300077289,35.01454140013084,2.938300099922344,16.49050970003009,2,3,2
Hoeffding Tree,9,1323306,0.8380662795590408,0.10156793927584191,0.3186972533233412,2,0.37331717927461106,0.9443974566126544,4.153421600116417,39.167963000247255,2.7760550999082625,19.26656479993835,2,3,2
Hoeffding Tree,10,1470340,0.8380662795590408,0.10156794925207074,0.31869726897491724,2,0.3733138522221083,0.9443970589708804,3.403237600112334,42.57120060035959,1.690348699921742,20.956913499860093,2,3,2
