model,pass,native_unit,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,pass_training_seconds,cumulative_training_seconds,n_trees
Random Forest,1,trees,147034,0.9986808067561322,0.002374649864450956,0.04873037927669921,48,0.17574520013295114,0.17574520013295114,1
Random Forest,2,trees,294068,0.9997674752242885,0.0014325254253777407,0.03784871761866894,138,0.173812200082466,0.34955740021541715,2
Random Forest,3,trees,441102,0.9998080922651507,0.0012675502876488094,0.035602672479026196,244,0.21550289983861148,0.5650603000540286,3
Random Forest,4,trees,588136,0.9998843109130575,0.0010483108809740055,0.03237762932912176,326,0.2025261998642236,0.7675864999182522,4
Random Forest,5,trees,735170,0.9999244596948957,0.0009599147238255809,0.030982490600750305,390,0.17167569999583066,0.9392621999140829,5
Random Forest,6,trees,882204,0.9999368938703325,0.00096495987662889,0.03106380331879678,495,0.18970569991506636,1.1289678998291492,6
Random Forest,7,trees,1029238,0.9999660195816306,0.0008885108552849203,0.02980789920952029,553,0.20715239993296564,1.3361202997621149,7
Random Forest,8,trees,1176272,0.9999660828598771,0.000863400082896693,0.02938367034420127,614,0.1967154999729246,1.5328357997350395,8
Random Forest,9,trees,1323306,0.9999653463010877,0.0008513385063003496,0.029177705638044085,653,0.16109699988737702,1.6939327996224165,9
Random Forest,10,trees,1470340,0.9999663435662526,0.0007999789249688219,0.02828389868757173,691,0.19369230000302196,1.8876250996254385,10
