model,pass,native_unit,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,pass_training_seconds,cumulative_training_seconds,boosting_rounds
XGBoost,1,boosting rounds,147034,0.994695442812057,0.07222297598709596,0.2687433273350167,30,0.1895045000128448,0.1895045000128448,1
XGBoost,2,boosting rounds,294068,0.9946921245008106,0.042829905606383174,0.20695387313694608,87,0.09260459989309311,0.2821090999059379,2
XGBoost,3,boosting rounds,441102,0.9962171530215816,0.027030920745221666,0.16441082916043476,156,0.08946830010972917,0.3715774000156671,3
XGBoost,4,boosting rounds,588136,0.9963958431963027,0.018730976152496935,0.13686115647800487,190,0.08929889998398721,0.4608762999996543,4
XGBoost,5,boosting rounds,735170,0.9968072682305134,0.013959702433824824,0.1181511846484191,246,0.08895389991812408,0.5498301999177784,5
XGBoost,6,boosting rounds,882204,0.9977614371127624,0.010251393130444606,0.10124916360367925,286,0.10127320000901818,0.6511033999267966,6
XGBoost,7,boosting rounds,1029238,0.9980798317345367,0.008168559985778739,0.0903800862235633,359,0.10261749988421798,0.7537208998110145,7
XGBoost,8,boosting rounds,1176272,0.9984694574128289,0.007012704806660222,0.08374189397583638,419,0.09312740014865994,0.8468482999596745,8
XGBoost,9,boosting rounds,1323306,0.9991517386533499,0.006145355748246004,0.07839231944678002,463,0.11045940010808408,0.9573077000677586,9
XGBoost,10,boosting rounds,1470340,0.9992292633642644,0.005369812382540365,0.07327900369505828,534,0.030268099857494235,0.9875757999252528,10
